student_id,school_type,grade,student_sex,지역
31172,고등,1,미정,성남동
31173,고등,1,미정,성남동
31174,고등,1,미정,성남동
31175,고등,1,미정,성남동
31176,고등,1,미정,성남동
31177,고등,1,미정,성남동
31178,고등,1,미정,성남동
31179,고등,1,미정,성남동
31180,고등,1,미정,성남동
31181,고등,1,미정,성남동
31182,고등,1,미정,성남동
31183,고등,1,미정,성남동
31184,고등,1,미정,성남동
31185,고등,1,미정,성남동
31186,고등,1,미정,성남동
31187,고등,1,미정,성남동
31188,고등,1,미정,성남동
31189,고등,1,미정,성남동
31190,고등,1,미정,성남동
31191,고등,1,미정,성남동
31192,고등,1,미정,성남동
31193,고등,2,미정,야탑2동
31194,고등,2,미정,판교동
31195,고등,2,미정,판교동
31196,고등,2,미정,경기도
31197,고등,1,미정,복정동
31198,고등,2,미정,판교동
31199,고등,2,미정,경기도
31200,고등,2,미정,경기도
31201,고등,2,미정,성남동
31202,고등,2,미정,서울특별시
31203,고등,2,미정,판교동
31204,고등,2,미정,판교동
31205,고등,2,미정,분당동
31206,고등,2,미정,야탑3동
31207,고등,2,미정,야탑3동
31208,고등,2,미정,야탑3동
31209,고등,2,미정,판교동
31210,고등,2,미정,서현1동
31211,고등,2,미정,서현1동
31212,고등,2,미정,서현1동
31213,고등,2,미정,서현1동
31214,고등,1,미정,야탑3동
31215,고등,1,미정,야탑3동
31216,고등,1,미정,야탑3동
31217,고등,1,미정,야탑3동
31218,고등,1,미정,야탑3동
31219,고등,1,미정,야탑3동
31220,고등,1,미정,경기도
31221,고등,1,남,충청북도
31222,고등,3,미정,경기도
31223,고등,1,미정,신촌동
31224,고등,1,미정,신촌동
